Month,AvgSunspotCount
7/01/1813,31
8/01/1813,14
9/01/1813,26
10/01/1813,46
11/01/1813,28
12/01/1813,24
1/01/1814,37
2/01/1814,20
3/01/1814,10
4/01/1814,40
5/01/1814,10
6/01/1814,25
7/01/1814,31
8/01/1814,4
9/01/1814,14
10/01/1814,32
11/01/1814,24
12/01/1814,34
1/01/1815,32
2/01/1815,54
3/01/1815,44
4/01/1815,53
5/01/1815,16
6/01/1815,93
7/01/1815,59
8/01/1815,79
9/01/1815,53
10/01/1815,56
11/01/1815,62
12/01/1815,108
1/01/1816,44
2/01/1816,115
3/01/1816,123
4/01/1816,98
5/01/1816,74
6/01/1816,73
7/01/1816,65
8/01/1816,39
9/01/1816,80
10/01/1816,94
11/01/1816,64
12/01/1816,50
1/01/1817,61
2/01/1817,97
3/01/1817,160
4/01/1817,44
5/01/1817,35
6/01/1817,67
7/01/1817,83
8/01/1817,75
9/01/1817,61
10/01/1817,43
11/01/1817,48
12/01/1817,47
1/01/1818,58
2/01/1818,37
3/01/1818,42
4/01/1818,58
5/01/1818,89
6/01/1818,61
7/01/1818,47
8/01/1818,53
9/01/1818,43
10/01/1818,53
11/01/1818,18
12/01/1818,43
1/01/1819,55
2/01/1819,35
3/01/1819,6
4/01/1819,34
5/01/1819,33
6/01/1819,58
7/01/1819,53
8/01/1819,44
9/01/1819,25
10/01/1819,46
11/01/1819,42
12/01/1819,51
1/01/1820,32
2/01/1820,44
3/01/1820,8
4/01/1820,32
5/01/1820,49
6/01/1820,18
7/01/1820,34
8/01/1820,43
9/01/1820,9
10/01/1820,15
11/01/1820,13
12/01/1820,15
1/01/1821,36
2/01/1821,7
3/01/1821,10
4/01/1821,15
5/01/1821,3
6/01/1821,3
7/01/1821,4
8/01/1821,8
9/01/1821,7
10/01/1821,31
11/01/1821,7
12/01/1821,0
1/01/1822,0
2/01/1822,2
3/01/1822,27
4/01/1822,22
5/01/1822,2
6/01/1822,9
7/01/1822,13
8/01/1822,3
9/01/1822,0
10/01/1822,1
11/01/1822,0
12/01/1822,0
1/01/1823,0
2/01/1823,0
3/01/1823,1
4/01/1823,0
5/01/1823,0
6/01/1823,0
7/01/1823,1
8/01/1823,0
9/01/1823,0
10/01/1823,0
11/01/1823,0
12/01/1823,34
1/01/1824,36
2/01/1824,18
3/01/1824,0
4/01/1824,32
5/01/1824,5
6/01/1824,0
7/01/1824,0
8/01/1824,2
9/01/1824,34
10/01/1824,42
11/01/1824,0
12/01/1824,1
1/01/1825,8
2/01/1825,26
3/01/1825,37
4/01/1825,6
5/01/1825,26
6/01/1825,26
7/01/1825,52
8/01/1825,43
9/01/1825,26
10/01/1825,26
11/01/1825,20
12/01/1825,37
1/01/1826,29
2/01/1826,30
3/01/1826,61
4/01/1826,40
5/01/1826,54
6/01/1826,62
7/01/1826,88
8/01/1826,66
9/01/1826,32
10/01/1826,84
11/01/1826,66
12/01/1826,114
1/01/1827,58
2/01/1827,79
3/01/1827,96
4/01/1827,77
5/01/1827,94
6/01/1827,94
7/01/1827,70
8/01/1827,89
9/01/1827,83
10/01/1827,94
11/01/1827,80
12/01/1827,77
1/01/1828,88
2/01/1828,107
3/01/1828,109
4/01/1828,102
5/01/1828,149
6/01/1828,163
7/01/1828,90
8/01/1828,127
9/01/1828,84
10/01/1828,91
11/01/1828,95
12/01/1828,78
1/01/1829,72
2/01/1829,82
3/01/1829,121
4/01/1829,158
5/01/1829,112
6/01/1829,123
7/01/1829,152
8/01/1829,129
9/01/1829,88
10/01/1829,95
11/01/1829,113
12/01/1829,94
1/01/1830,87
2/01/1830,120
3/01/1830,141
4/01/1830,177
5/01/1830,111
6/01/1830,108
7/01/1830,73
8/01/1830,85
9/01/1830,103
10/01/1830,141
11/01/1830,135
12/01/1830,137
1/01/1831,79
2/01/1831,84
3/01/1831,156
4/01/1831,91
5/01/1831,63
6/01/1831,56
7/01/1831,75
8/01/1831,92
9/01/1831,63
10/01/1831,77
11/01/1831,73
12/01/1831,48
1/01/1832,52
2/01/1832,93
3/01/1832,92
4/01/1832,45
5/01/1832,69
6/01/1832,45
7/01/1832,23
8/01/1832,15
9/01/1832,14
10/01/1832,35
11/01/1832,24
12/01/1832,46
1/01/1833,19
2/01/1833,25
3/01/1833,20
4/01/1833,5
5/01/1833,22
6/01/1833,2
7/01/1833,12
8/01/1833,10
9/01/1833,19
10/01/1833,13
11/01/1833,10
12/01/1833,17
1/01/1834,8
2/01/1834,30
3/01/1834,7
4/01/1834,2
5/01/1834,15
6/01/1834,13
7/01/1834,14
8/01/1834,7
9/01/1834,19
10/01/1834,41
11/01/1834,51
12/01/1834,58
1/01/1835,12
2/01/1835,41
3/01/1835,33
4/01/1835,102
5/01/1835,73
6/01/1835,55
7/01/1835,100
8/01/1835,99
9/01/1835,168
10/01/1835,159
11/01/1835,167
12/01/1835,129
1/01/1836,148
2/01/1836,179
3/01/1836,164
4/01/1836,238
5/01/1836,186
6/01/1836,208
7/01/1836,195
8/01/1836,180
9/01/1836,159
10/01/1836,229
11/01/1836,202
12/01/1836,344
1/01/1837,313
2/01/1837,293
3/01/1837,224
4/01/1837,230
5/01/1837,186
6/01/1837,263
7/01/1837,271
8/01/1837,224
9/01/1837,160
10/01/1837,206
11/01/1837,178
12/01/1837,216
1/01/1838,242
2/01/1838,141
3/01/1838,235
4/01/1838,211
5/01/1838,229
6/01/1838,158
7/01/1838,180
8/01/1838,131
9/01/1838,123
10/01/1838,152
11/01/1838,129
12/01/1838,133
1/01/1839,176
2/01/1839,171
3/01/1839,130
4/01/1839,103
5/01/1839,90
6/01/1839,91
7/01/1839,141
8/01/1839,219
9/01/1839,221
10/01/1839,152
11/01/1839,115
12/01/1839,106
1/01/1840,135
2/01/1840,146
3/01/1840,113
4/01/1840,110
5/01/1840,115
6/01/1840,81
7/01/1840,101
8/01/1840,96
9/01/1840,123
10/01/1840,92
11/01/1840,90
12/01/1840,90
1/01/1841,40
2/01/1841,50
3/01/1841,50
4/01/1841,67
5/01/1841,112
6/01/1841,93
7/01/1841,51
8/01/1841,65
9/01/1841,61
10/01/1841,47
11/01/1841,33
12/01/1841,65
1/01/1842,34
2/01/1842,37
3/01/1842,36
4/01/1842,45
5/01/1842,41
6/01/1842,34
7/01/1842,21
8/01/1842,44
9/01/1842,31
10/01/1842,64
11/01/1842,68
12/01/1842,29
1/01/1843,22
2/01/1843,6
3/01/1843,14
4/01/1843,16
5/01/1843,35
6/01/1843,18
7/01/1843,16
8/01/1843,20
9/01/1843,7
10/01/1843,9
11/01/1843,32
12/01/1843,21
1/01/1844,16
2/01/1844,25
3/01/1844,23
4/01/1844,35
5/01/1844,19
6/01/1844,6
7/01/1844,35
8/01/1844,40
9/01/1844,12
10/01/1844,36
11/01/1844,18
12/01/1844,36
1/01/1845,43
2/01/1845,73
3/01/1845,72
4/01/1845,95
5/01/1845,80
6/01/1845,52
7/01/1845,51
8/01/1845,54
9/01/1845,49
10/01/1845,68
11/01/1845,66
12/01/1845,100
1/01/1846,65
2/01/1846,85
3/01/1846,107
4/01/1846,116
5/01/1846,100
6/01/1846,108
7/01/1846,78
8/01/1846,91
9/01/1846,179
10/01/1846,93
11/01/1846,101
12/01/1846,109
1/01/1847,104
2/01/1847,75
3/01/1847,143
4/01/1847,75
5/01/1847,126
6/01/1847,142
7/01/1847,87
8/01/1847,234
9/01/1847,268
10/01/1847,301
11/01/1847,232
12/01/1847,183
1/01/1848,265
2/01/1848,186
3/01/1848,181
4/01/1848,179
5/01/1848,171
6/01/1848,215
7/01/1848,232
8/01/1848,221
9/01/1848,167
10/01/1848,221
11/01/1848,191
12/01/1848,266
1/01/1849,298
2/01/1849,250
3/01/1849,183
4/01/1849,195
5/01/1849,153
6/01/1849,154
7/01/1849,148
8/01/1849,129
9/01/1849,178
10/01/1849,136
11/01/1849,188
12/01/1849,184
1/01/1850,148
2/01/1850,170
3/01/1850,157
4/01/1850,84
5/01/1850,117
6/01/1850,133
7/01/1850,74
8/01/1850,117
9/01/1850,164
10/01/1850,135
11/01/1850,104
12/01/1850,116
1/01/1851,144
2/01/1851,200
3/01/1851,123
4/01/1851,107
5/01/1851,119
6/01/1851,120
7/01/1851,69
8/01/1851,109
9/01/1851,129
10/01/1851,119
11/01/1851,97
12/01/1851,136
1/01/1852,130
2/01/1852,126
3/01/1852,116
4/01/1852,124
5/01/1852,104
6/01/1852,89
7/01/1852,80
8/01/1852,75
9/01/1852,71
10/01/1852,128
11/01/1852,103
12/01/1852,86
1/01/1853,78
2/01/1853,82
3/01/1853,72
4/01/1853,90
5/01/1853,66
6/01/1853,76
7/01/1853,87
8/01/1853,96
9/01/1853,64
10/01/1853,81
11/01/1853,55
12/01/1853,45
1/01/1854,29
2/01/1854,38
3/01/1854,39
4/01/1854,50
5/01/1854,46
6/01/1854,40
7/01/1854,36
8/01/1854,30
9/01/1854,43
10/01/1854,24
11/01/1854,54
12/01/1854,41
1/01/1855,23
2/01/1855,22
3/01/1855,33
4/01/1855,8
5/01/1855,17
6/01/1855,10
7/01/1855,1
8/01/1855,6
9/01/1855,0
10/01/1855,18
11/01/1855,8
12/01/1855,6
1/01/1856,1
2/01/1856,9
3/01/1856,1
4/01/1856,12
5/01/1856,0
6/01/1856,10
7/01/1856,9
8/01/1856,11
9/01/1856,8
10/01/1856,9
11/01/1856,15
12/01/1856,14
1/01/1857,26
2/01/1857,14
3/01/1857,10
4/01/1857,21
5/01/1857,54
6/01/1857,31
7/01/1857,42
8/01/1857,32
9/01/1857,81
10/01/1857,77
11/01/1857,60
12/01/1857,71
1/01/1858,74
2/01/1858,66
3/01/1858,109
4/01/1858,73
5/01/1858,79
6/01/1858,85
7/01/1858,108
8/01/1858,105
9/01/1858,152
10/01/1858,173
11/01/1858,99
12/01/1858,127
1/01/1859,159
2/01/1859,166
3/01/1859,172
4/01/1859,163
5/01/1859,173
6/01/1859,165
7/01/1859,181
8/01/1859,203
9/01/1859,201
10/01/1859,218
11/01/1859,185
12/01/1859,154
1/01/1860,157
2/01/1860,168
3/01/1860,188
4/01/1860,136
5/01/1860,204
6/01/1860,206
7/01/1860,222
8/01/1860,191
9/01/1860,175
10/01/1860,171
11/01/1860,186
12/01/1860,182
1/01/1861,119
2/01/1861,148
3/01/1861,192
4/01/1861,187
5/01/1861,108
6/01/1861,168
7/01/1861,148
8/01/1861,157
9/01/1861,152
10/01/1861,128
11/01/1861,102
12/01/1861,153
1/01/1862,120
2/01/1862,122
3/01/1862,83
4/01/1862,102
5/01/1862,122
6/01/1862,160
7/01/1862,140
8/01/1862,119
9/01/1862,126
10/01/1862,80
11/01/1862,96
12/01/1862,78
1/01/1863,92
2/01/1863,108
3/01/1863,126
4/01/1863,77
5/01/1863,102
6/01/1863,78
7/01/1863,62
8/01/1863,91
9/01/1863,42
10/01/1863,76
11/01/1863,72
12/01/1863,78
1/01/1864,110
2/01/1864,90
3/01/1864,126
4/01/1864,68
5/01/1864,77
6/01/1864,110
7/01/1864,104
8/01/1864,104
9/01/1864,54
10/01/1864,64
11/01/1864,109
12/01/1864,54
1/01/1865,93
2/01/1865,75
3/01/1865,75
4/01/1865,56
5/01/1865,66
6/01/1865,64
7/01/1865,51
8/01/1865,72
9/01/1865,41
10/01/1865,33
11/01/1865,47
12/01/1865,24
1/01/1866,60
2/01/1866,73
3/01/1866,47
4/01/1866,34
5/01/1866,25
6/01/1866,31
7/01/1866,18
8/01/1866,24
9/01/1866,14
10/01/1866,27
11/01/1866,17
12/01/1866,3
1/01/1867,0
2/01/1867,1
3/01/1867,17
4/01/1867,10
5/01/1867,6
6/01/1867,3
7/01/1867,10
8/01/1867,9
9/01/1867,19
10/01/1867,26
11/01/1867,18
12/01/1867,48
1/01/1868,26
2/01/1868,26
3/01/1868,44
4/01/1868,61
5/01/1868,45
6/01/1868,52
7/01/1868,48
8/01/1868,57
9/01/1868,79
10/01/1868,103
11/01/1868,99
12/01/1868,113
1/01/1869,102
2/01/1869,100
3/01/1869,88
4/01/1869,68
5/01/1869,173
6/01/1869,181
7/01/1869,99
8/01/1869,133
9/01/1869,135
10/01/1869,99
11/01/1869,130
12/01/1869,174
1/01/1870,129
2/01/1870,192
3/01/1870,263
4/01/1870,267
5/01/1870,294
6/01/1870,226
7/01/1870,221
8/01/1870,257
9/01/1870,227
10/01/1870,244
11/01/1870,246
12/01/1870,217
1/01/1871,147
2/01/1871,209
3/01/1871,239
4/01/1871,271
5/01/1871,243
6/01/1871,153
7/01/1871,172
8/01/1871,184
9/01/1871,134
10/01/1871,149
11/01/1871,176
12/01/1871,151
1/01/1872,133
2/01/1872,200
3/01/1872,148
4/01/1872,170
5/01/1872,180
6/01/1872,183
7/01/1872,176
8/01/1872,155
9/01/1872,191
10/01/1872,171
11/01/1872,187
12/01/1872,140
1/01/1873,145
2/01/1873,178
3/01/1873,164
4/01/1873,127
5/01/1873,80
6/01/1873,75
7/01/1873,112
8/01/1873,114
9/01/1873,79
10/01/1873,79
11/01/1873,93
12/01/1873,82
1/01/1874,101
2/01/1874,107
3/01/1874,78
4/01/1874,54
5/01/1874,75
6/01/1874,64
7/01/1874,113
8/01/1874,102
9/01/1874,47
10/01/1874,57
11/01/1874,48
12/01/1874,49
1/01/1875,24
2/01/1875,36
3/01/1875,56
4/01/1875,49
5/01/1875,19
6/01/1875,40
7/01/1875,21
8/01/1875,24
9/01/1875,4
10/01/1875,21
11/01/1875,30
12/01/1875,17
1/01/1876,24
2/01/1876,25
3/01/1876,51
4/01/1876,4
5/01/1876,9
6/01/1876,3
7/01/1876,26
8/01/1876,15
9/01/1876,17
10/01/1876,24
11/01/1876,17
12/01/1876,14
1/01/1877,41
2/01/1877,15
3/01/1877,20
4/01/1877,26
5/01/1877,36
6/01/1877,24
7/01/1877,10
8/01/1877,11
9/01/1877,28
10/01/1877,11
11/01/1877,24
12/01/1877,4
1/01/1878,6
2/01/1878,11
3/01/1878,13
4/01/1878,0
